"","group","piR.hsa.100956","piR.hsa.1288731","piR.hsa.131631","piR.hsa.138412","piR.hsa.141155","piR.hsa.2499988","piR.hsa.2826866","piR.hsa.2826956","piR.hsa.2831324","piR.hsa.2833690","piR.hsa.2838249","piR.hsa.2851625","piR.hsa.2851799"
"TCGA.73.4675.01A.01T.1207.13","tumor",5.74322044757124,4.03316873443825,5.10134167678963,4.80420874691392,3.42999396057274,4.31795200994102,3.67410367361769,3.57898886114763,3.41941361103358,3.67971200327366,3.20091402110089,3.07584503067459,4.24627287497826
"TCGA.58.8388.01A.11H.2325.13","tumor",5.69386728656291,2.83156607546639,5.09860957259979,4.80147664272408,2.14020209370547,1.84594160910935,1.34861093798728,1.29955720700612,2.15040166820937,3.676979194594,1.92795142457275,3.07311334900432,1.43944544758158
"SRR6757411","normal",6.83478460464566,3.17671107305114,6.19269042118651,5.63703105061864,1.73397397387524,2.2529335445444,1.40974088589277,1.44344222429619,1.70242330411063,3.8625590348232,1.65428108368358,3.03289399621045,1.36249168624722
"TCGA.55.6972.01A.11H.1948.13","tumor",5.99302814226727,3.91669666812651,5.37733626392792,5.08020333405221,2.11131355541602,2.45044992273845,0.667291069468677,0.630895311284757,2.1270077987157,3.95576869405036,1.90442721307365,3.35180236912543,0.374061032709491
"SRR6757427","normal",5.78909966392764,2.23903606301377,4.97813496461954,4.58144304319903,1.65184238048842,2.24711755715009,1.23521743155772,1.19096991587975,1.63358481637898,3.51356784784537,1.56377824880077,3.04002218711563,1.34962638937255
"SRR14634349","tumor",5.8427755694049,3.03783442271324,5.81460855750183,5.09360504267514,2.53823619395662,3.42871026202428,2.41961952989785,2.91422096192874,2.54641583152537,3.84933051860051,1.97327428996681,3.39052118640322,2.33377054582288
"TCGA.69.7974.01A.11H.2186.13","tumor",5.69789047773597,3.22687187729485,5.07280959130456,4.77567666142885,2.54991949878788,3.35648523065421,1.87295980077469,1.98345806296119,2.57611272166475,3.65117246481752,2.35556968346875,3.04731741510388,1.72771783982407
"SRR6757461","normal",6.14147275123055,2.45891433159131,5.49180847951635,4.68971999953446,1.63704841922926,2.22265982391079,1.45860170105767,1.54219203425441,1.65991329739638,3.55933225793298,1.5614729958774,3.04545979688626,1.34847076978236
"TCGA.55.6979.01A.11H.1948.13","tumor",5.50911372086218,3.51456687621027,4.77326841931365,4.47613548943794,2.20580293704114,1.77239296174212,0.854846277320676,0.898484673876066,2.23200935278108,3.35153875441465,1.99718047771711,2.74783173852425,0.578600347814545
"SRR14634245","normal",5.83189441933862,2.32152489196466,5.21581201356966,4.79727996626741,1.2484333350205,1.42953186721911,0.858877127537167,0.841215930939661,1.25687905806878,3.69444397161406,1.19043810308051,2.77786074747176,1.17699243829304
"TCGA.63.A5MT.01A.21H.A26V.13","tumor",5.4874858767444,2.62152961368108,4.87825482524944,4.58112189537372,1.8357730638019,1.56308993693522,1.09351966419916,1.17667886597175,1.83964661865747,3.45656079192333,1.61518754025392,2.85279677713001,1.12846312522455
"TCGA.44.7671.01A.11H.2065.13","tumor",6.49349771738013,2.06302112972406,5.91539989088103,5.61826696100532,0.514155463864425,0.719422914601906,0.694476961920103,0.631668094378277,0.42541537006212,4.49391362226378,0.177239281091643,3.88981722739576,0.139584559015686
"TCGA.22.5478.11A.11H.2124.13","normal",6.44082975097584,1.66364603986156,5.86400720761503,5.56687427773932,0.970636889990252,1.55748213453255,0.667074063500409,0.635081957804959,0.929274774789163,4.44251492323354,0.693571361638623,3.83842815291228,0.696169379627879
"TCGA.22.5483.01A.01T.1819.13","tumor",4.06325907857141,1.41123579120933,3.48686710464716,3.18973417477145,0.909761643543386,2.37138390333507,0.801929380774502,0.740080508853498,0.85172346875006,2.06420037659326,0.614493128916114,1.46199191944949,0.716812162822836
"TCGA.56.7579.01A.11H.2044.13","tumor",6.25162033125372,2.50227921097857,5.64983276587414,5.35269983599842,2.38922596490312,2.26076120975724,1.73529924773661,1.78221800923484,2.40870542272681,4.22831179920355,2.17315038567643,3.62427091684406,1.66525278570183
"SRR14634322","tumor",5.14306896899336,2.52226990374315,4.93835636259203,4.54411086528104,2.39893300809229,1.96557789337193,1.48109775535312,1.47340502903839,2.43479380172715,3.49670683664027,2.30959624399051,3.15728341601645,1.39202882985644
"TCGA.46.3765.01A.01T.0981.13","tumor",6.09554451720036,4.77323166389432,5.49510582377154,5.19797289389583,3.4171821370566,3.04484392734066,2.59785313931646,2.63978601886334,3.43956144924719,4.07355996090182,3.21611251830947,3.46955890860861,2.93990863112152
