"","group","piR.hsa.100956","piR.hsa.1288731","piR.hsa.141155","piR.hsa.2499988","piR.hsa.2851799"
"TCGA.73.4675.01A.01T.1207.13","tumor",5.74322044757124,4.03316873443825,3.42999396057274,4.31795200994102,4.24627287497826
"TCGA.58.8388.01A.11H.2325.13","tumor",5.69386728656291,2.83156607546639,2.14020209370547,1.84594160910935,1.43944544758158
"SRR6757411","normal",6.83478460464566,3.17671107305114,1.73397397387524,2.2529335445444,1.36249168624722
"TCGA.55.6972.01A.11H.1948.13","tumor",5.99302814226727,3.91669666812651,2.11131355541602,2.45044992273845,0.374061032709491
"SRR6757427","normal",5.78909966392764,2.23903606301377,1.65184238048842,2.24711755715009,1.34962638937255
"SRR14634349","tumor",5.8427755694049,3.03783442271324,2.53823619395662,3.42871026202428,2.33377054582288
"TCGA.69.7974.01A.11H.2186.13","tumor",5.69789047773597,3.22687187729485,2.54991949878788,3.35648523065421,1.72771783982407
"SRR6757461","normal",6.14147275123055,2.45891433159131,1.63704841922926,2.22265982391079,1.34847076978236
"TCGA.55.6979.01A.11H.1948.13","tumor",5.50911372086218,3.51456687621027,2.20580293704114,1.77239296174212,0.578600347814545
"SRR14634245","normal",5.83189441933862,2.32152489196466,1.2484333350205,1.42953186721911,1.17699243829304
"TCGA.63.A5MT.01A.21H.A26V.13","tumor",5.4874858767444,2.62152961368108,1.8357730638019,1.56308993693522,1.12846312522455
"TCGA.44.7671.01A.11H.2065.13","tumor",6.49349771738013,2.06302112972406,0.514155463864425,0.719422914601906,0.139584559015686
"TCGA.22.5478.11A.11H.2124.13","normal",6.44082975097584,1.66364603986156,0.970636889990252,1.55748213453255,0.696169379627879
"TCGA.22.5483.01A.01T.1819.13","tumor",4.06325907857141,1.41123579120933,0.909761643543386,2.37138390333507,0.716812162822836
"TCGA.56.7579.01A.11H.2044.13","tumor",6.25162033125372,2.50227921097857,2.38922596490312,2.26076120975724,1.66525278570183
"SRR14634322","tumor",5.14306896899336,2.52226990374315,2.39893300809229,1.96557789337193,1.39202882985644
"TCGA.46.3765.01A.01T.0981.13","tumor",6.09554451720036,4.77323166389432,3.4171821370566,3.04484392734066,2.93990863112152
"TCGA.44.6778.01A.11H.1857.13","tumor",5.83923408129402,2.64814601317175,1.38287185763906,2.97771025483685,1.58634922949321
"TCGA.78.7162.01A.21H.2065.13","tumor",6.18232793522174,2.70626419092632,1.08430139881129,1.80234970926897,-0.123639053005302
"SRR14634257","normal",5.83146855356709,2.22038647963871,0.925119345974498,1.2468151337708,1.17636714076087
"TCGA.34.2600.01A.01T.1557.13","tumor",5.60761507197457,4.25403082445307,2.813599402013,2.06614706472373,2.19429928342225
"TCGA.38.7271.01A.11H.2038.13","tumor",6.16185458500925,1.07318413809565,0.396795674865499,0.453816905680657,-0.294319109563624
"TCGA.86.7711.01A.11H.2065.13","tumor",5.33509330682465,2.59911361208956,1.16770751238033,1.72540389703492,1.36782907791586
"SRR6757443","normal",7.43563880758695,3.21859495097721,2.12993534384989,2.26529827953034,1.3515847525504
